
 SDLK_RETURN                 =0x0000000du  \r 
 SDLK_ESCAPE                 =0x0000001bu  \x1B 
 SDLK_BACKSPACE              =0x00000008u  \b 
 SDLK_TAB                    =0x00000009u  \t 
 SDLK_SPACE                  =0x00000020u    
 SDLK_EXCLAIM                =0x00000021u  ! 
 SDLK_DBLAPOSTROPHE          =0x00000022u  " 
 SDLK_HASH                   =0x00000023u  # 
 SDLK_DOLLAR                 =0x00000024u  $ 
 SDLK_PERCENT                =0x00000025u  % 
 SDLK_AMPERSAND              =0x00000026u  & 
 SDLK_APOSTROPHE             =0x00000027u  \ 
 SDLK_LEFTPAREN              =0x00000028u  ( 
 SDLK_RIGHTPAREN             =0x00000029u  ) 
 SDLK_ASTERISK               =0x0000002au  * 
 SDLK_PLUS                   =0x0000002bu  + 
 SDLK_COMMA                  =0x0000002cu  , 
 SDLK_MINUS                  =0x0000002du  - 
 SDLK_PERIOD                 =0x0000002eu  . 
 SDLK_SLASH                  =0x0000002fu  / 
 SDLK_0                      =0x00000030u  0 
 SDLK_1                      =0x00000031u  1 
 SDLK_2                      =0x00000032u  2 
 SDLK_3                      =0x00000033u  3 
 SDLK_4                      =0x00000034u  4 
 SDLK_5                      =0x00000035u  5 
 SDLK_6                      =0x00000036u  6 
 SDLK_7                      =0x00000037u  7 
 SDLK_8                      =0x00000038u  8 
 SDLK_9                      =0x00000039u  9 
 SDLK_COLON                  =0x0000003au  : 
 SDLK_SEMICOLON              =0x0000003bu  ; 
 SDLK_LESS                   =0x0000003cu  < 
 SDLK_EQUALS                 =0x0000003du  = 
 SDLK_GREATER                =0x0000003eu  > 
 SDLK_QUESTION               =0x0000003fu  ? 
 SDLK_AT                     =0x00000040u  @ 
 SDLK_LEFTBRACKET            =0x0000005bu  [ 
 SDLK_BACKSLASH              =0x0000005cu  \\ 
 SDLK_RIGHTBRACKET           =0x0000005du  ] 
 SDLK_CARET                  =0x0000005eu  ^ 
 SDLK_UNDERSCORE             =0x0000005fu  _ 
 SDLK_GRAVE                  =0x00000060u  ` 
 SDLK_A                      =0x00000061u  a 
 SDLK_B                      =0x00000062u  b 
 SDLK_C                      =0x00000063u  c 
 SDLK_D                      =0x00000064u  d 
 SDLK_E                      =0x00000065u  e 
 SDLK_F                      =0x00000066u  f 
 SDLK_G                      =0x00000067u  g 
 SDLK_H                      =0x00000068u  h 
 SDLK_I                      =0x00000069u  i 
 SDLK_J                      =0x0000006au  j 
 SDLK_K                      =0x0000006bu  k 
 SDLK_L                      =0x0000006cu  l 
 SDLK_M                      =0x0000006du  m 
 SDLK_N                      =0x0000006eu  n 
 SDLK_O                      =0x0000006fu  o 
 SDLK_P                      =0x00000070u  p 
 SDLK_Q                      =0x00000071u  q 
 SDLK_R                      =0x00000072u  r 
 SDLK_S                      =0x00000073u  s 
 SDLK_T                      =0x00000074u  t 
 SDLK_U                      =0x00000075u  u 
 SDLK_V                      =0x00000076u  v 
 SDLK_W                      =0x00000077u  w 
 SDLK_X                      =0x00000078u  x 
 SDLK_Y                      =0x00000079u  y 
 SDLK_Z                      =0x0000007au  z 
 SDLK_LEFTBRACE              =0x0000007bu  { 
